code;control;description;libellé NL;libellé EN;code assignation;assignation;% Propriétaire;% Locataire
6162001;;Traduction documents;Vertaling documenten;Document translation;;;100;0
616300;1;FRAIS DE PROCÉDURE;PROCEDUREKOSTEN;LEGAL PROCEDURE COSTS;;;;
6163000;;Frais de procédure recouvrement arriérés copropriétaires;Procedurekosten inning achterstallen mede-eigenaars;Procedure costs for co-owner arrears recovery;;;100;0
6163009;;Autres frais de procédure;Andere procedurekosten;Other procedure costs;;;100;0
616400;1;PUBLICATIONS ET MODIFICATIONS STATUTS;PUBLICATIES EN WIJZIGING VAN DE STATUTEN;PUBLICATIONS AND STATUTE CHANGES;;;;
6164000;;Publications à la BCE;Publicaties bij KBO;Business registry publications;;;100;0
6164001;;Modification statuts;Wijziging van de statuten;Statute amendments;;;100;0
616600;1;FRAIS DIVERS GESTION;DVERSES KOSTEN BEHEER;VARIOUS MANAGEMENT COSTS;;;;
6166000;;Communication d'informations sur Internet;Informatieverstrekking op het internet;Online information services;;;100;0
6166001;;Frais d'accession à la propriété;Kosten eigendomsverwerving;Property acquisition costs;;;100;0
6166002;;Frais archives;Kosten archief;Archiving costs;;;100;0
6166009;;Autres frais gestion;Overige beheerkosten;Other management costs;;;100;0
62;1;RÉMUNÉRATIONS, CHARGES SOCIALES ET PENSIONS;BEZOLDIGINGEN, lOONLIJST, PENSIOENEN;REMUNERATIONS, PAYROLL, PENSIONS;;;;
620000;1;RÉMUNÉRATIONS, CHARGES SOCIALES ET PENSIONS;BEZOLDIGINGEN, lOONLIJST, PENSIOENEN;Remunerations, payroll, pensions;;;;
6200000;;Rémunérations;Bezoldigingen;Salaries;;;0;100
6200001;;Cotisations sociales;Werkgeversbijdragen voor sociale verzekeringen;Employer contributions to social security;;;0;100
6200003;;Autres frais de personnel;Andere personeelskosten;Other personnel costs;;;0;100
6200004;;Pensions de retraite et de survie;Ouderdoms en overlevingspensioenen;Old-age and survivor pensions;;;0;100
63;1;AMORTISSEMENTS ET RÉDUCTIONS DE VALEUR;AFSCHRIJVINGEN EN WAARDEVERMINDERINGEN;DEPRECIATION AND IMPAIRMENT;;;;
630000;1;DOTATIONS AUX AMORTISSEMENTS SUR IMMOBILISATIONS;AFSCHRIJVINGEN OP VASTE ACTIVA TOEVOEGING;DEPRECIATION ON FIXED ASSETS ADDITION;;;;
6300001;;Dotations aux amortissements sur immobilisations incorporelles;Afschrijvingen op immateriële vaste activa;Depreciation on intangible fixed assets;;;100;0
6300002;;Dotations aux amortissements sur immobilisations corporelles;Afschrijvingen op materiële vaste activa;Depreciation on tangible fixed assets;;;100;0
634000;1;RÉDUCTIONS DE VALEUR SUR CRÉANCES À UN AN AU PLUS;WAARDEVERMINDERINGEN OP VORDERINGEN OP TEN HOOGSTE ÉÉN JAAR;IMPAIRMENT ON RECEIVABLES DUE WITHIN ONE YEAR;;;;
6340000;;Dotations;Toevoeging;Addition;;;100;0
6340001;;Reprises;Terugneming;Reversal;;;100;0
64;1;AUTRES CHARGES;ANDEREN KOSTEN;OTHER COSTS;;;;
640000;1;AUTRES CHARGES;ANDEREN KOSTEN;Other costs;;;;
6400000;;Taxes et redevances;Belastingen en retributies;Taxes and fees;;;100;0
641;1;MOINS-VALUES SUR LA RÉALISATION DES CRÉANCES;MINDERWAARDEN OP DE REALISATIE VAN SCHULDVORDERINGEN;LOSS ON REALIZATION OF RECEIVABLES;;;;
642;1;CHARGES DIVERSES;DIVERSE KOSTEN;Various costs;;;;
642000;1;LOYERS PAYÉS PAR LA COPROPRIÉTÉ;DOOR DE MEDE-EIGENAAR BETAALDE HUREN;RENTS PAID BY THE CO-OWNER;;;;
6420000;;Loyers appartement concierge;Huur voor conciërgewoning;Rent for concierge housing;;;100;0
6420001;;Loyers emplacement de parking;Huur parkeerplaatsen;Rent for parking spaces;;;100;0
6420002;;Loyers garage;Huur garage;Rent for garage;;;100;0
6420003;;Loyers cave;Huur kelder;Rent for cellar;;;100;0
643;1;FRAIS PRIVATIFS;PRIVATIEVE KOSTEN;PRIVATE COSTS;;;;
6430000;;Frais privatifs;Privatieve kosten;Private costs;private_expenses;Frais privatifs;;
6431000;;Frais privatifs refacturés;Privatieve kosten;Private costs;reinvoiced_private_expenses;Frais privatifs refacturés;;
65;1;CHARGES FINANCIÈRES;FINANCIËLE KOSTEN;FINANCIAL COSTS;;;;
650000;1;FRAIS BANCAIRES ET CHARGES DE DETTES;BANKKOSTEN EN KOSTEN VAN SCHULDEN;BANK COSTS AND DEBT COSTS;;;;
6500000;;Frais bancaires;Bankkosten;Bank costs;;;100;0
6500009;;Autres charges financières;Andere financiële kosten;Other financial costs;;;100;0
657000;1;EMPRUNTS;LENINGEN;LOANS;;;;
6570000;;Remboursement emprunt;Terugbetaling lening;Loan repayment;;;100;0
66;1;CHARGES EXCEPTIONNELLES;UITZONDERLIJKE KOSTEN;EXCEPTIONAL COSTS;;;;
67;1;CHARGES TRAVAUX;WERKENKOSTEN;WORK COSTS;;;;
671;1;CHARGES TRAVAUX EXTRAORDINAIRES;BUITENGEWONE WERKENKOSTEN;EXTRAORDINARY WORK COSTS;work_expenses;Charges travaux;;
68;1;VARIATION DES FONDS;VARIATIE FONDSEN;FUND VARIATION;;;;
680000;1;PROVISIONS;PROVISIES;PROVISIONS;;;;
6800000;;Appel provisions pour charges;Provisieopvraging;Provision call;;;100;0
681000;1;VARIATION FONDS DE ROULEMENT;VARIATIE WERKKAPITAAL;WORKING CAPITAL VARIATION;;;;
6810000;;Appel fonds de roulement;Oproep werkkapitaal;Working capital call;;;100;0
681600;1;VARIATION FONDS DE RÉSERVE;VARIATIE RESERVEFONDS;RESERVE FUND VARIATION;;;;
6816000;;Appel fonds de réserve;Oproep reservefonds;Reserve fund call;;;100;0
6816001;;Prélèvement fonds de réserve;Heffing reservefonds;Reserve fund levy;;;100;0
69;1;VALEURS À REPORTER;OVER TE DRAGEN MIDDELEN;FUNDS TO BE TRANSFERRED;;;;
693;1;VALEURS À REPORTER;OVER TE DRAGEN MIDDELEN;Funds to be transferred;;;;
7;1;PRODUITS;OPBRENGSTEN;REVENUES;;;;
70;1;ACOMPTES;VOORSCHOTTEN;ADVANCES;;;;
700;;Acomptes fonds de réserve;Voorschotten reservekapitaal;Reserve capital advances;;;100;0
701;;Provisions;Voorschotten werkkapitaal;Working capital advances;expense_provisions;Provisions sur charges;100;0
702;;Provisions extraordinaires;Oproep buitengewone fondsen;Extraordinary fund call;work_provisions;Provisions travaux;100;0
74;1;AUTRES PRODUITS D'EXPLOITATION;OVERIGE BEDRIJFSOPBRENGSTEN;OTHER OPERATING REVENUES;;;;
742;1;PRODUITS DIVERS;OPBRENGSTEN;REVENUES;;;;
742000;1;LOYERS PERCUS PAR LA COPROPRIÉTÉ;DE DOOR DE MEDE-EIGENDOM GEÏNDE HUREN;RENTS COLLECTED BY THE CO-OWNERSHIP;;;;
7420000;;Loyers ancienne conciergerie;Huur voormalige conciërgewoning;Rent from former concierge housing;;;100;0
7420001;;Loyers emplacement de parking;Huur parkeerplaatsen;Rent from parking spaces;;;100;0
7420002;;Loyers garage commun;Huur garage;Rent from garage;;;100;0
7420003;;Loyers cave commune;Huur kelder;Rent from cellar;;;100;0
7420004;;Loyers antenne(s);Huur antenne(s);Rent from antenna(s);;;100;0
7420005;;Loyers panneaux publicitaires;Huur reclamepanelen;Rent from advertising panels;;;100;0
744;1;INDEMNITÉS PERCUES PAR LA COPROPRIÉTÉ;DE DOOR DE MEDE-EIGENDOM GEÏNDE VERGOEDINGEN;FEES COLLECTED BY THE CO-OWNERSHIP;;;;
744000;1;INDEMNITÉS DE DÉMÉNAGEMENT / EMMÉNAGEMENT;VERHUIS VERGOEDINGEN;MOVING FEES;;;;
7440000;;Indemnités de déménagement;Verhuis vergoedingen;Moving fees;;;100;0
7440001;;Indemnités d'emménagement;Verhuis vergoedingen;Moving fees;;;100;0
75;1;PRODUITS FINANCIERS;FINANCIËLE OPBRENGSTEN;FINANCIAL INCOME;;;;
750000;1;INTÉRÊTS BANCAIRES;BANK INTERESTEN;BANK INTERESTS;;;;
7500000;;Intérêts bancaires;Bank interesten;Bank interests;;;100;0
76;1;PRODUITS EXCEPTIONNELS;UITZONDERLIJKE OPBRENGSTEN;EXCEPTIONAL REVENUES;;;;
